RPR
0.0515
0.0508
0.0508
0.0504
0.0499
0.0494
0.0493
0.0489
0.0484
0.0481
0.048
0.048
0.0479
0.0482
0.0486
0.0488
0.049
0.0491
0.0495
0.0494
0.0496
0.0494
0.0494
0.0497
0.0496
0.0498
0.0498
0.0498
0.05
0.0498
0.0501
0.05
0.05
0.0498
0.0497
0.0496
0.0495
0.0494
0.0494
0.0494
0.0493
0.0492
0.0491
0.0489
0.0487
0.0486
0.0485
0.0484
0.0481
0.0478
0.0475
0.0473
0.047
0.0465
0.0456
0.0453
0.045
0.0445
0.044
0.0441
0.0441
0.0432
0.0422
0.0418
0.0415
0.0405
0.0395
0.0389
0.0382
0.0369
0.0358
0.0351
0.0343
0.033
0.032
0.0315
0.0314
0.0313
0.0317
0.0321
0.0326
0.0329
0.0334
0.0346
0.036
0.0367
0.0376
0.0398
0.0422
0.0422
0.0417
0.0423
0.0434
0.0426
0.0428
0.0442
0.0455
0.0449
0.0448
0.0466
0.0475
0.0457
0.0448
0.0452
0.0448
0.0427
0.0415
0.0418
0.0418
0.041
0.0406
0.041
0.0412
0.0404
0.04
